number,name,link,image,position,club,birthplace,height,mv,age
,Tolga Atici,616618,https://img.a.transfermarkt.technology/portrait/big/616618-1536703343.jpg,Goalkeeper,Adana 1954 FK,Adana,188,,23
88,Yusuf Emre Alyaprak,617209,https://img.a.transfermarkt.technology/portrait/big/617209-1605570986.JPG,Central Midfield,Bayrampasa Spor,Adana,179,,22
,Samil Bolat,621978,https://img.a.transfermarkt.technology/portrait/big/621978-1538083531.jpg,Centre-Back,,Adana,190,,25
20,Emre Isik,621999,https://img.a.transfermarkt.technology/portrait/big/621999-1555188215.jpg,Attacking Midfield,Amasyaspor FK,Adana,171,25000,22
80,Emre Nasuh,622861,https://img.a.transfermarkt.technology/portrait/big/622861-1546147431.jpeg,Central Midfield,Darica Genclerbirligi,Adana,179,50000,21
,Yigit Kadioglu,630133,https://img.a.transfermarkt.technology/portrait/big/630133-1605387774.jpg,Second Striker,Kozan Spor FK,Adana,170,,21
90,Musa Bulut,632361,https://img.a.transfermarkt.technology/portrait/big/632361-1633643711.jpg,Centre-Forward,Bayrampasa Spor,Adana,185,25000,21
,Nusrettin Cicek,647029,https://img.a.transfermarkt.technology/portrait/big/647029-1589114688.png,Centre-Back,,Adana,180,,24
,Yusufcan Demirok,651534,https://img.a.transfermarkt.technology/portrait/big/651534-1552901920.jpg,Goalkeeper,,Adana,192,25000,22
,Ibrahim Koray Arslan,66574,https://img.a.transfermarkt.technology/portrait/big/66574-1464432682.jpg,midfield,,Adana,178,,35
,Eray Serbes,66590,https://img.a.transfermarkt.technology/portrait/big/66590-1593874348.jpg,Goalkeeper,,Adana,190,,35
,Adem Bekir Atas,667437,https://img.a.transfermarkt.technology/portrait/big/667437-1644437905.png,Central Midfield,,Adana,171,,21
22,Süleyman Okcu,667755,https://img.a.transfermarkt.technology/portrait/big/667755-1653823098.JPG,Attacking Midfield,Kusadasispor,Adana,182,,21
30,Ömer Talha Nergiz,668035,https://img.a.transfermarkt.technology/portrait/big/668035-1643484923.jpg,Right Winger,Zonguldak Kömürspor,Adana,171,,20
,Mert Canpolat,668049,https://img.a.transfermarkt.technology/portrait/big/668049-1612423897.jpg,Defensive Midfield,Yozgatspor 1959 FK,Adana,182,,21
,Mustafa Ceviz,671276,https://img.a.transfermarkt.technology/portrait/big/671276-1619471513.jpeg,Left-Back,Siverek Belediyespor,Adana,,,21
,Abdurrahman Özenc,676622,https://img.a.transfermarkt.technology/portrait/big/676622-1663968338.jpg,Central Midfield,1074 Cankiri Spor,Adana,,,20
,Ümit Mutlu,68281,https://img.a.transfermarkt.technology/portrait/big/68281-1462909221.jpg,Left Winger,1966 Edremitspor,Adana,,,35
,Eren Nergiz,683120,https://img.a.transfermarkt.technology/portrait/big/683120-1609871184.jpg,Centre-Forward,,Adana,183,,24
,Ercan Ünal,6946,https://img.a.transfermarkt.technology/portrait/big/6946-1463150952.jpg,Centre-Back,,Adana,182,,39
29,Burak Gürler,696660,https://img.a.transfermarkt.technology/portrait/big/696660-1653821745.JPG,Centre-Back,Adiyaman FK,Adana,,,21
18,Ahmet Celik,697068,https://img.a.transfermarkt.technology/portrait/big/697068-1602170772.jpg,Right-Back,Karaman FK,Adana,,100000,21
11,Yigit Gümüs,697071,https://img.a.transfermarkt.technology/portrait/big/697071-1661885083.png,Centre-Forward,Bayrampasa Spor,Adana,183,,20
,Ömer Faruk Sagmen,700246,https://img.a.transfermarkt.technology/portrait/big/700246-1612110883.jpg,Attacking Midfield,Kozan Spor FK,Adana,,,20
3,Murat Sipahioglu,700264,https://img.a.transfermarkt.technology/portrait/big/700264-1600004786.jpeg,Centre-Back,Ankara Demirspor,Adana,191,50000,20
,Emre Karagüzel,701741,https://img.a.transfermarkt.technology/portrait/big/701741-1639079679.png,Left-Back,Konya Ereglispor,Adana,,,27
,Merthan Kurt,703718,https://img.a.transfermarkt.technology/portrait/big/703718-1584907527.jpg,Right-Back,Yozgatspor 1959 FK,Adana,173,,23
,Okan Cicen,707218,https://img.a.transfermarkt.technology/portrait/big/707218-1654379190.png,Centre-Back,Adana 1954 FK,Adana,180,,22
,Ilker Avcibay,7110,https://img.a.transfermarkt.technology/portrait/big/7110-1485993262.jpeg,Goalkeeper,,Adana,186,,43
94,Ibrahim Aksu,724148,https://img.a.transfermarkt.technology/portrait/big/724148-1619471831.jpeg,Central Midfield,Adanaspor,Adana,,100000,20
